size,library,time
4x4, scipy, 0.0006317090000000081
4x4, pydct, 0.0011898249999999777
4x4, scipy, 0.0006747990000000037
4x4, pydct, 0.0010169770000000022
4x4, scipy, 0.00040427400000001
4x4, pydct, 0.0010128070000000045
4x4, scipy, 0.00040305100000001537
4x4, pydct, 0.0009378899999999968
4x4, scipy, 0.000561320000000004
4x4, pydct, 0.0010963259999999808
4x4, scipy, 0.0005388610000000016
4x4, pydct, 0.0008464290000000096
4x4, scipy, 0.0004277200000000203
4x4, pydct, 0.001065946000000012
4x4, scipy, 0.00043698799999999927
4x4, pydct, 0.0010386950000000061
4x4, scipy, 0.0004463190000000006
4x4, pydct, 0.000973042999999979
4x4, scipy, 0.00046873000000000054
4x4, pydct, 0.0008328800000000081
8x8, scipy, 0.00044773600000000413
8x8, pydct, 0.0012894070000000202
8x8, scipy, 0.0004822540000000153
8x8, pydct, 0.0017198850000000043
8x8, scipy, 0.0004564910000000033
8x8, pydct, 0.001139473000000002
8x8, scipy, 0.00046307500000000723
8x8, pydct, 0.0011796990000000063
8x8, scipy, 0.0015499399999999997
8x8, pydct, 0.0017658929999999629
8x8, scipy, 0.0003963690000000075
8x8, pydct, 0.0013711419999999919
8x8, scipy, 0.00038149100000001157
8x8, pydct, 0.002476073000000023
8x8, scipy, 0.00021878200000002845
8x8, pydct, 0.0006963500000000122
8x8, scipy, 0.00019712799999999087
8x8, pydct, 0.000657300999999999
8x8, scipy, 0.00020912400000000497
8x8, pydct, 0.0005580119999999966
16x16, scipy, 0.00021873099999997203
16x16, pydct, 0.0010468349999999682
16x16, scipy, 0.0002352689999999824
16x16, pydct, 0.000909484000000016
16x16, scipy, 0.00016723600000001504
16x16, pydct, 0.0009696490000000169
16x16, scipy, 0.0003425709999999582
16x16, pydct, 0.0008568880000000001
16x16, scipy, 0.00022234999999998228
16x16, pydct, 0.001127576000000019
16x16, scipy, 0.0001844939999999795
16x16, pydct, 0.001552419000000027
16x16, scipy, 0.0002221780000000173
16x16, pydct, 0.0008683060000000409
16x16, scipy, 0.0001897949999999926
16x16, pydct, 0.0008887419999999979
16x16, scipy, 0.0002020179999999705
16x16, pydct, 0.0009689720000000124
16x16, scipy, 0.00024305599999996375
16x16, pydct, 0.0009645429999999844
32x32, scipy, 0.0002714410000000389
32x32, pydct, 0.0013381620000000316
32x32, scipy, 0.00017218099999999348
32x32, pydct, 0.0014421780000000162
32x32, scipy, 0.00022996400000002692
32x32, pydct, 0.0014393659999999975
32x32, scipy, 0.00026348499999995223
32x32, pydct, 0.0014739089999999955
32x32, scipy, 0.00017985999999997615
32x32, pydct, 0.001856671000000032
32x32, scipy, 0.0001821189999999806
32x32, pydct, 0.0016605339999999913
32x32, scipy, 0.00038131800000001936
32x32, pydct, 0.0020783620000000003
32x32, scipy, 0.00043026099999998735
32x32, pydct, 0.0015312839999999661
32x32, scipy, 0.00022793199999998626
32x32, pydct, 0.0012383810000000106
32x32, scipy, 0.00018205800000004047
32x32, pydct, 0.001478719999999989
64x64, scipy, 0.00024294600000002164
64x64, pydct, 0.0018841339999999818
64x64, scipy, 0.00025148600000002297
64x64, pydct, 0.0019018659999999743
64x64, scipy, 0.00018909499999997248
64x64, pydct, 0.0020339389999999846
64x64, scipy, 0.0002080340000000236
64x64, pydct, 0.0017758599999999625
64x64, scipy, 0.00023223100000002717
64x64, pydct, 0.001830241999999982
64x64, scipy, 0.0002101780000000053
64x64, pydct, 0.0018062590000000323
64x64, scipy, 0.0001919339999999492
64x64, pydct, 0.001821053000000017
64x64, scipy, 0.00016873100000003305
64x64, pydct, 0.0018816399999999622
64x64, scipy, 0.00016883199999995213
64x64, pydct, 0.0018148869999999873
64x64, scipy, 0.00016852000000000533
64x64, pydct, 0.0019436959999999948
128x128, scipy, 0.0001894199999999957
128x128, pydct, 0.002558074999999993
128x128, scipy, 0.00017278999999997824
128x128, pydct, 0.0025532229999999934
128x128, scipy, 0.0002539129999999945
128x128, pydct, 0.0026335150000000307
128x128, scipy, 0.00022598999999995373
128x128, pydct, 0.002647677000000015
128x128, scipy, 0.00021513900000003083
128x128, pydct, 0.0025584780000000307
128x128, scipy, 0.0002706379999999897
128x128, pydct, 0.002550080999999982
